name,wikidata_id,label,score
marianne lake,Q24572563,Marianne Lake,
marillyn a. hewson,Q4953889,Marillyn Hewson,
marjorie magner,Q6766306,Marjorie Magner,
mark a. crosswhite,,,
mark garfield,,,
mark j. hawkins,,,
mark j. rubash,,,
mark l. burn,Q54361917,Mark Burns,
mark m. malcolm,Q114899342,Mark Malcolm,
mark murphy,Q933550,Mark Murphy,
mark q. holifield,,,
mark randazza,,,
mark rayha,,,
mark s. lantrip,,,
mark v. hurd,Q711976,Mark Hurd,
mark w. begor,,,
markj . flournoy,,,
"marschall s. runge , m.d. , ph.d .",,,
martina hund-mejean,Q1633724,Martina Hund-Mejean,
marvin r. ellison,Q22279080,Marvin Ellison,
mary a. francis,Q70802573,Mary Francis Baker,
mary callahan erdoes,Q513770,Mary Callahan Erdoes,
mary t. barra,Q6779013,Mary Barra,
matthew a. carey,Q3298537,Mathew Carey,
matthew e. zames,,,
matthew j. white,,,
melanie boulden,Q125338641,Melanie Boulden,
melissa k. caen,,,
mellody hobson,Q6813152,Mellody Hobson,
michael c. lenz,,,
michael d. verdeschi,,,
michael e. sneed,,,
michael f. roman,Q94016219,Mike Roman,
michael h. ullmann,,,
michael j. cavanagh,Q114837356,Michael Cavanagh,
michael j. holston,,,
michael k. wirth,Q48562446,Mike Wirth,
michael l. eskew,Q6832018,Michael Eskew,
michael t. rehwinkel,,,
michele j. hooper,Q107972872,Michele J. Hooper,
michelle a. kumbier,Q114840517,Michelle Kumbier,
michellem . clatterbuck,,,
mitchell p. rale,Q6881360,Mitchell Rales,
monica p. reed,,,
mortimer j. buckley iii,,,
mr. alban,,,
mr. bettinger,,,
mr. clark,Q6238494,John Heaviside Clark,
mr. dimon,,,
mr. garfield,,,
mr. hock e. tan,,,
mr. iger,,,
mr. richardson,Q1703287,Jonathan Richardson,
mr. teel,,,
ms. chandoha,,,
ms. kallsen,,,
muhtar kent,Q1392181,Muhtar Kent,
murry s. gerber,Q114345315,Murry S. Gerber,
nancy mckinstry,Q520123,Nancy McKinstry,
"neil g. mitchill , jr .",,,
nicholas d. chabraja,,,
"o. b. grayson hall , jr .",Q52008273,O. B. Grayson Hall Jr.,
olivia f. kirtley,,,
oscar c. harper iv,,,
pamela d. a. reeve,Q115735863,Pamela D.A. Reeve,
pamela j. craig,Q114705680,Pamela Craig,
paola gonzalez,Q98075415,Paola Gonzalez,
patricia f. russo,Q533750,Patricia Russo,
patricia q. stonesifer,Q7148734,Patty Stonesifer,
patrick pichette,Q3369779,Patrick Pichette,
paul,Q9200,Paul the Apostle,
paul b. rothman,Q20011456,Paul B. Rothman,
paul r. garcia,Q109498174,Paul Garcia,
paula a. sneed,Q116448149,Paula A. Sneed,
paula rosput reynolds,Q109726412,Paula Rosput Reynolds,
"paulus stoffels , m.d .",,,
per wold-olsen,Q112191012,Per Wold-Olsen,
peter c. wendell,Q114706158,Peter C. Wendell,
peter d. gibbon,,,
peter e. raskind,,,
peter j. arduini,Q114819563,Peter Arduini,
peter j. millones,,,
peter scher,Q2078070,Peter Scher,
peter thiel,Q705525,Peter Thiel,
peter thomas killalea,Q125516191,Peter Thomas Killalea,
phebe n. novakovic,Q4970379,Phebe Novakovic,
philip c. raymond,,,
philip knight,Q557305,Phil Knight,
philip p. boudreau,,,
philip schiller,Q659176,Phil Schiller,
phillip m. webb,,,
